Static Spatial Factors (SSF) and Dynamic Spatial Factors (DSF)for DRWM test of iRho-V																				
STEP	C1_SSF	C1_DSF	C2_SSF	C2_DSF	C3_SSF	C3_DSF	C4_SSF	C4_DSF	C5_SSF	C5_DSF	C6_SSF	C6_DSF	C7_SSF	C7_DSF	C8_SSF	C8_DSF	C9_SSF	C9_DSF	10_SSF	10_DSF
311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
293	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
224	1.0001	1	1.0002	1	1.0009	1	0.9999	1	1.0008	1	1.0002	1	1.0002	1	1.0003	1	1.0017	1		
223	1.0003	1	1.0004	1	1.0021	1	0.9998	1	1.0017	1	1.0005	1	1.0005	1	1.0008	1	1.0038	1		
222	1.0006	1	1.0008	1	1.0035	1	0.9997	1	1.0029	1	1.0008	1	1.0008	1	1.0014	1	1.0062	1		
221	1.0009	1	1.0013	1	1.0052	1	0.9996	1	1.0043	1	1.0013	1	1.0012	1	1.002	1	1.0092	1		
220	1.0013	1	1.0018	1	1.0072	1	0.9995	1	1.0059	1	1.0018	1	1.0016	1	1.0028	1	1.0126	1		
219	1.0018	1	1.0024	1	1.0094	1	0.9993	1	1.0078	1	1.0023	1	1.0021	1	1.0038	1	1.0164	1		
218	1.0023	1	1.0032	1	1.0121	1	0.9992	1	1.01	1	1.0027	1	1.0027	1	1.0048	1	1.0209	1		
217	1.003	1	1.004	1	1.0151	1	0.9989	1	1.0124	1	1.0036	1	1.0034	1	1.006	1	1.0259	1		
216	1.0036	1	1.0049	1	1.0183	1	0.9987	1	1.0151	1	1.0045	1	1.0041	1	1.0074	1	1.0312	1		
215	1.0044	1	1.0059	1	1.0218	1	0.9984	1	1.018	1	1.0054	1	1.0048	1	1.0088	1	1.0369	1		
214	1.0052	1.1534	1.0069	1.1503	1.0254	1.1539	0.998	1.1305	1.0211	1.1525	1.0063	1.1478	1.0055	1.1335	1.0103	1.1505	1.0428	1.1509		
213	1.006	1.144	1.0081	1.1408	1.0292	1.1434	0.9976	1.1202	1.0243	1.1424	1.0072	1.1374	1.0063	1.1237	1.0119	1.1402	1.0489	1.14		
212	1.0069	1.1355	1.0092	1.1324	1.0331	1.134	0.9972	1.111	1.0275	1.1328	1.0082	1.1277	1.0071	1.1146	1.0135	1.1305	1.0549	1.1291		
211	1.0078	1.1263	1.0104	1.1241	1.037	1.1251	0.9968	1.1019	1.0307	1.1244	1.0091	1.1189	1.0079	1.1064	1.0151	1.1218	1.061	1.1205		
210	1.0088	1.1194	1.0116	1.1177	1.0409	1.1185	0.9963	1.0954	1.0341	1.1182	1.0101	1.1125	1.0086	1.1004	1.0168	1.1155	1.0672	1.1138		
209	1.0097	1.1145	1.0129	1.1128	1.045	1.1138	0.9958	1.0911	1.0376	1.1137	1.0111	1.1081	1.0094	1.0961	1.0185	1.111	1.0735	1.1086		
208	1.0108	1.1103	1.0142	1.1087	1.0493	1.1098	0.9952	1.0876	1.0412	1.1099	1.0121	1.1046	1.0102	1.0924	1.0203	1.1073	1.0799	1.1041		
207	1.0118	1.1064	1.0156	1.105	1.0537	1.1063	0.9946	1.0846	1.0449	1.1066	1.0132	1.1015	1.011	1.0892	1.0222	1.1042	1.0865	1.1001		
206	1.0129	1.1029	1.017	1.1017	1.0583	1.1031	0.9939	1.0819	1.0488	1.1035	1.0143	1.0988	1.0118	1.0863	1.0242	1.1014	1.0933	1.0962		
205	1.0141	1.0996	1.0185	1.0985	1.063	1.0999	0.9931	1.0792	1.0528	1.1005	1.0154	1.096	1.0127	1.0834	1.0262	1.0987	1.1001	1.0924		
204	1.0152	1.0963	1.02	1.0955	1.0677	1.0966	0.9923	1.0763	1.0569	1.0974	1.0166	1.0932	1.0135	1.0805	1.0283	1.0959	1.107	1.0885		
203	1.0164	1.0931	1.0215	1.0925	1.0725	1.0932	0.9914	1.0731	1.0611	1.0941	1.0177	1.0903	1.0143	1.0776	1.0304	1.093	1.1139	1.0845		
202	1.0176	1.0899	1.023	1.0894	1.0773	1.0895	0.9905	1.0695	1.0653	1.0906	1.0188	1.087	1.0151	1.0744	1.0325	1.0899	1.1206	1.0803		
201	1.0187	1.0865	1.0245	1.0862	1.082	1.0857	0.9895	1.0656	1.0694	1.0869	1.0199	1.0835	1.0159	1.0709	1.0346	1.0865	1.1272	1.076		
200	1.0198	1.0818	1.0259	1.0816	1.0863	1.0805	0.9886	1.06	1.0731	1.0817	1.0209	1.0784	1.0165	1.066	1.0365	1.0816	1.1332	1.0707		
199	1.021	1.0808	1.0274	1.0807	1.0907	1.0785	0.9875	1.0581	1.077	1.0798	1.022	1.0767	1.0172	1.0646	1.0385	1.0802	1.1393	1.0682		
198	1.0221	1.0787	1.0288	1.0787	1.0951	1.0758	0.9865	1.0555	1.0809	1.0772	1.0229	1.0745	1.0178	1.0624	1.0405	1.0781	1.1452	1.0651		
197	1.0232	1.0758	1.0302	1.0761	1.0993	1.0728	0.9853	1.0526	1.0846	1.0742	1.0239	1.0719	1.0183	1.0598	1.0424	1.0756	1.1509	1.0618		
196	1.0243	1.0741	1.0316	1.0745	1.1035	1.0708	0.9842	1.0508	1.0883	1.0723	1.0248	1.0704	1.0189	1.0582	1.0443	1.0742	1.1566	1.0593		
195	1.0255	1.0724	1.033	1.0731	1.1077	1.0688	0.9829	1.0493	1.0921	1.0705	1.0257	1.0691	1.0194	1.0568	1.0463	1.073	1.1623	1.0569		
194	1.0266	1.071	1.0344	1.0719	1.1119	1.067	0.9816	1.048	1.0958	1.0688	1.0265	1.068	1.0199	1.0556	1.0482	1.072	1.1679	1.0546		
193	1.0277	1.0696	1.0357	1.0707	1.1161	1.0651	0.9801	1.0467	1.0996	1.067	1.0274	1.0669	1.0203	1.0544	1.0502	1.071	1.1736	1.0522		
192	1.0288	1.0683	1.0371	1.0695	1.1203	1.0632	0.9786	1.0453	1.1034	1.0652	1.0282	1.0658	1.0207	1.0532	1.0521	1.07	1.1791	1.0498		
191	1.0299	1.067	1.0384	1.0684	1.1245	1.0612	0.9771	1.0437	1.1072	1.0633	1.029	1.0646	1.0211	1.0519	1.0541	1.069	1.1846	1.0474		
190	1.0309	1.0657	1.0398	1.0673	1.1286	1.059	0.9754	1.042	1.1109	1.0612	1.0298	1.0633	1.0215	1.0506	1.056	1.0678	1.19	1.0448		
189	1.032	1.0643	1.0411	1.0661	1.1327	1.0567	0.9738	1.04	1.1146	1.059	1.0305	1.0617	1.0218	1.0492	1.058	1.0665	1.1953	1.0422		
188	1.033	1.0629	1.0423	1.0649	1.1365	1.0543	0.972	1.0378	1.1182	1.0566	1.0311	1.06	1.022	1.0476	1.0598	1.0651	1.2003	1.0395		
187	1.034	1.0614	1.0435	1.0635	1.1402	1.0517	0.9704	1.0352	1.1215	1.0539	1.0318	1.058	1.0222	1.0457	1.0615	1.0634	1.2051	1.0366		
186	1.035	1.0599	1.0447	1.0622	1.1436	1.0492	0.9687	1.0327	1.1247	1.0514	1.0323	1.056	1.0223	1.044	1.0632	1.0617	1.2096	1.034		
185	1.0359	1.0585	1.0457	1.061	1.1469	1.047	0.967	1.0307	1.1277	1.0491	1.0328	1.0545	1.0224	1.0425	1.0648	1.0603	1.2139	1.0316		
184	1.0367	1.0574	1.0468	1.0601	1.1501	1.0451	0.9652	1.0291	1.1306	1.0472	1.0332	1.0533	1.0224	1.0413	1.0663	1.0594	1.218	1.0295		
183	1.0376	1.0565	1.0478	1.0593	1.1532	1.0433	0.9634	1.0277	1.1335	1.0454	1.0336	1.0523	1.0224	1.0403	1.0678	1.0586	1.2221	1.0276		
182	1.0384	1.0555	1.0488	1.0584	1.1563	1.0416	0.9615	1.0267	1.1363	1.0436	1.0339	1.0516	1.0223	1.0393	1.0692	1.0579	1.2262	1.0257		
181	1.0393	1.0547	1.0497	1.0578	1.1593	1.0401	0.9594	1.0259	1.1391	1.042	1.0342	1.051	1.0222	1.0386	1.0707	1.0574	1.2302	1.024		
180	1.0401	1.0539	1.0506	1.0573	1.1624	1.0385	0.9573	1.0249	1.1419	1.0404	1.0344	1.0504	1.022	1.0379	1.0721	1.057	1.2341	1.0223		
179	1.0408	1.0531	1.0515	1.0567	1.1654	1.0368	0.9551	1.0239	1.1447	1.0386	1.0346	1.0497	1.0218	1.0371	1.0736	1.0564	1.2381	1.0205		
178	1.0416	1.0523	1.0524	1.0561	1.1683	1.0351	0.9528	1.0227	1.1474	1.0368	1.0348	1.0489	1.0216	1.0363	1.0749	1.0558	1.2419	1.0186		
177	1.0423	1.0516	1.0532	1.0555	1.1712	1.0333	0.9505	1.0213	1.15	1.0348	1.0349	1.048	1.0213	1.0354	1.0763	1.0551	1.2457	1.0167		
176	1.043	1.0508	1.054	1.0549	1.1739	1.0314	0.9481	1.0198	1.1525	1.0328	1.0349	1.0469	1.0209	1.0345	1.0776	1.0544	1.2493	1.0148		
175	1.0437	1.0499	1.0547	1.0542	1.1765	1.0295	0.9458	1.0182	1.1549	1.0307	1.0349	1.0458	1.0206	1.0334	1.0788	1.0535	1.2528	1.0129		
174	1.0444	1.049	1.0554	1.0534	1.1789	1.0275	0.9435	1.0163	1.1572	1.0286	1.0349	1.0444	1.0201	1.0323	1.0799	1.0524	1.2561	1.011		
173	1.045	1.0481	1.056	1.0527	1.1812	1.0256	0.9412	1.0146	1.1593	1.0266	1.0348	1.0432	1.0196	1.0312	1.081	1.0515	1.2592	1.0092		
172	1.0455	1.0473	1.0566	1.0521	1.1834	1.024	0.9389	1.0132	1.1612	1.0248	1.0347	1.0423	1.0191	1.0303	1.082	1.0508	1.2623	1.0077		
171	1.0461	1.0466	1.0571	1.0516	1.1855	1.0226	0.9366	1.012	1.1632	1.0231	1.0345	1.0415	1.0185	1.0296	1.0829	1.0503	1.2652	1.0062		
170	1.0466	1.046	1.0576	1.0512	1.1875	1.0212	0.9341	1.011	1.165	1.0216	1.0343	1.0409	1.0179	1.0289	1.0838	1.0498	1.2682	1.0049		
169	1.0471	1.0441	1.0581	1.0507	1.1895	1.0198	0.9316	1.01	1.1668	1.02	1.034	1.0402	1.0172	1.0283	1.0847	1.0494	1.271	1.0036		
168	1.0476	1.0439	1.0585	1.0502	1.1915	1.0184	0.929	1.009	1.1686	1.0185	1.0336	1.0396	1.0165	1.0276	1.0855	1.049	1.2739	1.0023		
167	1.0481	1.0441	1.0589	1.0498	1.1934	1.0171	0.9264	1.0081	1.1703	1.0169	1.0332	1.0391	1.0157	1.0271	1.0863	1.0486	1.2767	1.001		
166	1.0485	1.0435	1.0593	1.0495	1.1953	1.0158	0.9237	1.0072	1.172	1.0154	1.0328	1.0385	1.0149	1.0265	1.0871	1.0482	1.2794	0.9998		
165	1.049	1.0429	1.0596	1.0491	1.1971	1.0146	0.9208	1.0063	1.1736	1.0139	1.0323	1.038	1.0141	1.0259	1.0879	1.0479	1.2822	0.9986		
164	1.0494	1.0424	1.0599	1.0488	1.1989	1.0132	0.9179	1.0054	1.1751	1.0124	1.0318	1.0374	1.0132	1.0254	1.0886	1.0475	1.2849	0.9974		
163	1.0498	1.0418	1.0602	1.0484	1.2006	1.0119	0.9151	1.0042	1.1766	1.0108	1.0312	1.0367	1.0122	1.0247	1.0892	1.047	1.2875	0.9961		
162	1.0501	1.0409	1.0604	1.0479	1.2022	1.0104	0.9123	1.0028	1.178	1.0091	1.0306	1.0358	1.0112	1.0239	1.0898	1.0464	1.2901	0.9949		
161	1.0504	1.0402	1.0606	1.0474	1.2037	1.0091	0.9094	1.0015	1.1793	1.0075	1.03	1.0348	1.0102	1.0231	1.0904	1.0457	1.2925	0.9936		
160	1.0508	1.0398	1.0608	1.047	1.2051	1.0078	0.9066	1.0004	1.1805	1.006	1.0293	1.034	1.0092	1.0224	1.0909	1.0452	1.2948	0.9925		
159	1.0511	1.0389	1.0609	1.0466	1.2065	1.0067	0.9039	0.9994	1.1816	1.0047	1.0286	1.0329	1.0081	1.0218	1.0913	1.0448	1.2971	0.9915		
158	1.0513	1.0384	1.061	1.0457	1.2077	1.0057	0.9011	0.9985	1.1827	1.0034	1.0279	1.0324	1.007	1.0213	1.0917	1.0444	1.2993	0.9906		
157	1.0516	1.0379	1.0611	1.0457	1.209	1.0047	0.8981	0.9975	1.1837	1.0023	1.0271	1.0319	1.0058	1.0208	1.0921	1.0441	1.3016	0.9898		
156	1.0519	1.0375	1.0611	1.0456	1.2103	1.0038	0.895	0.9968	1.1847	1.0011	1.0263	1.0315	1.0046	1.0204	1.0924	1.0436	1.3038	0.9889		
155	1.0521	1.037	1.0611	1.0452	1.2115	1.0029	0.8919	0.9961	1.1856	1	1.0254	1.0312	1.0034	1.0199	1.0927	1.0431	1.306	0.9881		
154	1.0523	1.0366	1.0611	1.0446	1.2127	1.002	0.8888	0.9953	1.1865	0.9989	1.0245	1.0308	1.0021	1.0195	1.093	1.0428	1.3082	0.9873		
153	1.0526	1.0361	1.0611	1.0443	1.2138	1.0011	0.8859	0.9948	1.1874	0.9978	1.0236	1.0304	1.0008	1.019	1.0933	1.0425	1.3104	0.9865		
152	1.0528	1.0356	1.061	1.0442	1.2149	1.0002	0.8823	0.9931	1.1882	0.9967	1.0226	1.0298	0.9994	1.0185	1.0936	1.0426	1.3126	0.9857		
151	1.0529	1.0351	1.0609	1.0439	1.2159	0.9993	0.879	0.9923	1.189	0.9957	1.0216	1.0293	0.9981	1.0181	1.0938	1.0422	1.3147	0.9849		
150	1.0531	1.0346	1.0608	1.0436	1.2169	0.9984	0.8758	0.9914	1.1896	0.9945	1.0206	1.0286	0.9966	1.0175	1.0939	1.0418	1.3167	0.9841		
149	1.0533	1.034	1.0606	1.0432	1.2179	0.9975	0.8727	0.9903	1.1903	0.9934	1.0196	1.0279	0.9951	1.0169	1.0941	1.0414	1.3186	0.9834		
148	1.0534	1.0334	1.0605	1.0428	1.2187	0.9967	0.8697	0.9892	1.1908	0.9925	1.0186	1.0272	0.9937	1.0164	1.0942	1.0409	1.3205	0.9826		
147	1.0535	1.0328	1.0603	1.0425	1.2195	0.996	0.8667	0.9882	1.1913	0.9916	1.0176	1.0266	0.9926	1.016	1.0942	1.0406	1.3224	0.982		
146	1.0536	1.0323	1.0601	1.0421	1.2202	0.9954	0.8636	0.9873	1.1917	0.9909	1.0165	1.0261	0.9908	1.0152	1.0943	1.0403	1.3242	0.9814		
145	1.0537	1.0317	1.0598	1.0418	1.2209	0.9949	0.8605	0.9865	1.1921	0.9902	1.0156	1.0257	0.9892	1.015	1.0943	1.0401	1.326	0.9809		
144	1.0539	1.0314	1.0595	1.0415	1.2217	0.9944	0.8574	0.9857	1.1925	0.9896	1.0144	1.0251	0.9876	1.0147	1.0943	1.0398	1.3279	0.9804		
143	1.054	1.0309	1.0593	1.0412	1.2223	0.9939	0.8541	0.985	1.1928	0.989	1.0131	1.0246	0.986	1.0143	1.0943	1.0396	1.3297	0.9799		
142	1.054	1.0301	1.059	1.0409	1.223	0.9934	0.8508	0.9842	1.1932	0.9885	1.0118	1.0244	0.9844	1.0139	1.0942	1.0394	1.3316	0.9793		
141	1.054	1.0297	1.0588	1.0406	1.2236	0.993	0.8475	0.9834	1.1934	0.988	1.0106	1.0239	0.9827	1.0135	1.094	1.039	1.3334	0.979		
140	1.0541	1.0292	1.0583	1.04	1.2242	0.9924	0.8441	0.9826	1.1937	0.9875	1.0093	1.0234	0.9811	1.0131	1.0939	1.0388	1.3352	0.9786		
139	1.0541	1.0287	1.058	1.0398	1.2248	0.9921	0.8407	0.9817	1.1938	0.987	1.008	1.0229	0.9793	1.0127	1.0939	1.0386	1.337	0.9781		
138	1.0542	1.0281	1.0576	1.0395	1.2254	0.9917	0.8374	0.9808	1.194	0.9866	1.0067	1.0223	0.9776	1.0122	1.0937	1.0382	1.3388	0.9776		
137	1.0542	1.0276	1.0572	1.039	1.2259	0.9912	0.8342	0.9798	1.1941	0.9861	1.0055	1.0216	0.9759	1.0117	1.0934	1.0377	1.3405	0.9771		
